LocationID,Suburb,State,Postcode,Latitude,Longitude
S-57,ACTON,act,2601,-35.28333282,149.1166687
S-42,AINSLIE,act,2602,-35.26666641,149.1499939
S-39,AMAROO,act,2914,-35.16666794,149.1333313
S-70,ARANDA,act,2614,-35.26666641,149.08332825
S-32,BANKS,act,2906,-35.46666718,149.1000061
S-50,BARTON,act,2600,-35.31666565,149.1333313
S-55,BELCONNEN,act,2616,-35.23333359,149.03334045
S-25,BELCONNEN,act,2617,-35.23333359,149.03334045
S-60,BONNER,act,2914,-35.1780014,149.13299561
S-23,BONYTHON,act,2905,-35.43333435,149.08332825
S-38,BRADDON,act,2612,-35.28333282,149.1333313
S-18,BRUCE,act,2617,-35.25,149.08332825
S-77,CALWELL,act,2905,-35.43333435,149.1000061
S-29,CAMPBELL,act,2612,-35.29999924,149.1499939
S-17,CANBERRA,act,2600,-35.29999924,149.1333313
S-97,CANBERRA,act,2601,-35.29999924,149.1333313
S-36,CANBERRA CITY,act,2601,-35.277,149.128
S-88,CANBERRA INTERNATIONAL AIRPORT,act,2609,149.20199585,-35.28699875
S-31,CAPITAL HILL,act,2600,-35.31666565,149.1166687
S-91,CASEY,act,2913,-35.16666794,149.08332825
S-62,CAUSEWAY,act,2604,-35.31666565,149.1499939
S-39,CHAPMAN,act,2611,-35.36666489,149.03334045
S-6,CHARNWOOD,act,2615,-35.20000076,149.03334045
S-15,CHIFLEY,act,2606,-35.34999847,149.06666565
S-57,CHISHOLM,act,2905,-35.41666794,149.1166687
S-37,CITY,act,2601,-35.28333282,149.1333313
S-18,CONDER,act,2906,-35.45000076,149.1000061
S-77,COOK,act,2614,-35.26666641,149.06666565
S-31,CRACE,act,2911,-35.20000076,149.1166687
S-26,CURTIN,act,2605,-35.33333206,149.06666565
S-35,DEAKIN,act,2600,-35.31666565,149.1000061
S-96,DICKSON,act,2602,-35.25,149.1333313
S-76,DOWNER,act,2602,-35.25,149.1499939
S-93,DUFFY,act,2611,-35.33333206,149.03334045
S-36,DUNLOP,act,2615,-35.20000076,149.0166626
S-1,EVATT,act,2617,-35.21666718,149.06666565
S-99,FADDEN,act,2904,-35.40000153,149.1166687
S-92,FARRER,act,2607,-35.38333511,149.1000061
S-60,FISHER,act,2611,-35.36666489,149.05000305
S-27,FLOREY,act,2615,-35.23333359,149.05000305
S-53,FLYNN,act,2615,-35.21666718,149.05000305
S-84,FORDE,act,2914,-35.18333435,149.1499939
S-59,FORREST,act,2603,-35.31666565,149.1166687
S-47,FRANKLIN,act,2913,-35.20000076,149.1333313
S-54,FRASER,act,2615,-35.20000076,149.05000305
S-32,FYSHWICK,act,2609,-35.33333206,149.16667175
S-98,GARRAN,act,2605,-35.34999847,149.1000061
S-92,GILMORE,act,2905,-35.41666794,149.1333313
S-69,GIRALANG,act,2617,-35.21666718,149.1000061
S-67,GORDON,act,2906,-35.45000076,149.08332825
S-30,GOWRIE,act,2904,-35.41666794,149.1000061
S-50,GREENWAY,act,2900,-35.41666794,149.06666565
S-58,GRIFFITH,act,2603,-35.33333206,149.1333313
S-42,GUNGAHLIN,act,2912,-35.18333435,149.1333313
S-33,HACKETT,act,2602,-35.25,149.16667175
S-41,HALL,act,2618,-35.16666794,149.06666565
S-6,HARRISON,act,2914,-35.18333435,149.1333313
S-5,HAWKER,act,2614,-35.25,149.03334045
S-7,HIGGINS,act,2615,-35.23333359,149.0166626
S-22,HOLDER,act,2611,-35.33333206,149.05000305
S-90,HOLT,act,2615,-35.23333359,149.0166626
S-82,HUGHES,act,2605,-35.33333206,149.1000061
S-39,HUME,act,2620,-35.38333511,149.16667175
S-51,ISAACS,act,2607,-35.36666489,149.1166687
S-39,ISABELLA PLAINS,act,2905,-35.41666794,149.08332825
S-42,JERVIS BAY,act,2540,-35.13166809,150.71665955
S-92,KALEEN,act,2617,-35.23333359,149.1000061
