Suburb,Postcode,Longitude,Latitude
ACTON,2601,149.1166687,-35.28333282
AINSLIE,2602,149.1499939,-35.26666641
AMAROO,2914,149.1333313,-35.16666794
ARANDA,2614,149.08332825,-35.26666641
BANKS,2906,149.1000061,-35.46666718
BARTON,2600,149.1333313,-35.31666565
BELCONNEN,2616,149.03334045,-35.23333359
BELCONNEN,2617,149.03334045,-35.23333359
BONNER,2914,149.13299561,-35.1780014
BONYTHON,2905,149.08332825,-35.43333435
BRADDON,2612,149.1333313,-35.28333282
BRUCE,2617,149.08332825,-35.25
CALWELL,2905,149.1000061,-35.43333435
CAMPBELL,2612,149.1499939,-35.29999924
CANBERRA,2600,149.1333313,-35.29999924
CANBERRA,2601,149.1333313,-35.29999924
CANBERRA CITY,2601,149.128,-35.277
CANBERRA INTERNATIONAL AIRPORT,2609,-35.28699875,149.20199585
CAPITAL HILL,2600,149.1166687,-35.31666565
CASEY,2913,149.08332825,-35.16666794
CAUSEWAY,2604,149.1499939,-35.31666565
CHAPMAN,2611,149.03334045,-35.36666489
CHARNWOOD,2615,149.03334045,-35.20000076
CHIFLEY,2606,149.06666565,-35.34999847
CHISHOLM,2905,149.1166687,-35.41666794
CITY,2601,149.1333313,-35.28333282
CONDER,2906,149.1000061,-35.45000076
COOK,2614,149.06666565,-35.26666641
CRACE,2911,149.1166687,-35.20000076
CURTIN,2605,149.06666565,-35.33333206
DEAKIN,2600,149.1000061,-35.31666565
DICKSON,2602,149.1333313,-35.25
DOWNER,2602,149.1499939,-35.25
DUFFY,2611,149.03334045,-35.33333206
DUNLOP,2615,149.0166626,-35.20000076
EVATT,2617,149.06666565,-35.21666718
FADDEN,2904,149.1166687,-35.40000153
FARRER,2607,149.1000061,-35.38333511
FISHER,2611,149.05000305,-35.36666489
FLOREY,2615,149.05000305,-35.23333359
FLYNN,2615,149.05000305,-35.21666718
FORDE,2914,149.1499939,-35.18333435
FORREST,2603,149.1166687,-35.31666565
FRANKLIN,2913,149.1333313,-35.20000076
FRASER,2615,149.05000305,-35.20000076
FYSHWICK,2609,149.16667175,-35.33333206
GARRAN,2605,149.1000061,-35.34999847
GILMORE,2905,149.1333313,-35.41666794
GIRALANG,2617,149.1000061,-35.21666718
GORDON,2906,149.08332825,-35.45000076
GOWRIE,2904,149.1000061,-35.41666794
GREENWAY,2900,149.06666565,-35.41666794
GRIFFITH,2603,149.1333313,-35.33333206
GUNGAHLIN,2912,149.1333313,-35.18333435
